record - dc:cdmid,image_url,record - dc:title,record - dc:cdmfile,record - dc:cdmpath,record - dc:viewerURL,record - dc:cdmcreated,record - dc:cdmmodified,record - dc:format,record - dc:subject,record - dc:publisher,record - dc:type,record - dc:creator,record - width,record - height,record - dc:source,record - dc:language,record - dc:identifier,record - dc:date,record - dc:description,record - dc:coverage,record - dc:relation,related_to,record - illust_tech,record - dc:contributor,record - tag,record - text,record - notes,record - dc:audience
38,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=38,Out of Town (inside faces),39.jpg,/p4129coll7/image/39.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/38,2004-02-06,2004-02-06,JPG,Summer; Infants; Death; Poetry; Funeral processions,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,16,Printed Ephemera of the New York Milk Committee.,English,mk1e001m002.jpg,1911,Sentimental poem contrasting the summer holidays of wealthy city dwellers with the fate of working-class infants struck down by disease. Text illustrated with photographs of children and city scenes.,New York. New York City.,inside faces of mk1e001,mk1e001,Halftone photomechanical prints;,,document,"OUT OF TOWN.<br><br>  Summer--and everyone's <br>  out of town,<br>  Fled far from this with-<br>ering heat <br>  That the sun all day sends <br>  sullenly down <br> On sweltering alley and <br>street.<br>  The shutters are up on the <br>  Avenue.<br>   And the houses, so grim <br>  and brown,<br>  Are empty--expect for a <br>  servant or two-<br> For everyone's out of town.<br>  <br>Where the breakers rumble <br>  their thunderous song.<br>   And shower the shore <br>  with spray,<br>  Is gathered the chattering <br>care-free throng <br> That has vanished from <br>  dull Broadway.<br>  The shadowy paths of the <br> woods are bright <br> With many a flashing gown,<br>  And the mountains echo <br>  with laughter light,<br>   For everyone's out of town.<br>  <br>Some hundreds of thous-<br>ands of children still <br> Are breathing the reek-<br> ing air.<br>  And white-faced mothers <br>  and babies grill <br> In each doorway and <br>crowded square.<br>  While grim Disease, thro <br>  the long hot night <br> Walks, sinister, up and <br>  down;<br>  His field is wide and his harvest white,<br>   Though everyone's out <br>  of town.<br><br>  Each hour or two, on the <br>  parched East Side,<br>   In a beautful coach of <br> glass,<br>  Some baby is taking its first <br>  grand ride <br> Toward the trees and the <br>  velvet grass <br>  Far out, where the sun looks more <br>  kindly down,<br>  The wan little fellows are <br>  travelling too,<br>   Like everyone--out of <br>  town.<br><br>  From the Cosmopolitan,<br>  J.J. Montague.<br>",,
39,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=39,Out of Town (front),40.jpg,/p4129coll7/image/40.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/39,2004-01-08,2004-01-08,JPG,,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.,English,mk1e001m001.jpg,1911,,New York. New York City.,front of mk1e001,mk1e001,Halftone photomechanical prints;,,document,,,
40,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=40,Out of Town,41.cpd,/p4129coll7/image/41.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/40,2004-01-08,2004-01-08,jpg,Milk; Infant mortality; Summer,The New York Academy of Medicine,Circulars,,9,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e001m,1911,One folded sheet.,,,,Halftone photomechanical prints,,,,,
41,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=41,A Letter to Expectant Mothers (Yiddish),42.cpd,/p4129coll7/image/42.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/41,2004-01-08,2004-01-08,jpg,Pregnancy; Infants; Milk; Health,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee to Reduce Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,Yiddish; English,,1911,Circular promoting prenatal healthcare and encouraging pregnant mothers to visit maternity centers. Single folded sheet with front and inside faces printed in Yiddish.,,,,Halftone photomechanical prints,,,,,
42,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=42,[A Letter to Expectant Mothers (English) front],43.jpg,/p4129coll7/image/43.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/42,2004-01-21,2004-01-21,JPG,Milk; Pregnancy; Health & welfare;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,12,16,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,,1911,Front page of circular promoting prenatal care.  Illustrated with image of mother embracing baby; changing table with clothing draped in background; flowered print wallpaper in background.,New York. New York City.,front of mk1e035,mk1e035,Halftone photomechanical prints;,Jonathan Frater,document,,,
44,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=44,Milk: Its Value to the Home: The Proper Care of Milk in the Home (3),45.jpg,/p4129coll7/image/45.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/44,2004-01-09,2004-01-09,JPG,Milk; Nutrition; Education;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,18,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m003.jpg,,"Single printed page,describing how to prepare and store milk in the home; two columns of print; photo of cows in pasture, center top.",New York. New York City.,inside faces 3 and 4 of mk1e041,mk1e041,Halftone photomechanical prints;,Jonathan Frater,document,,Image 3 of 5,
45,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=45,Milk: Its Value to the Home (1),46.jpg,/p4129coll7/image/46.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/45,2004-01-13,2004-01-13,JPG,Milk; Nutrition; Education; Child rearing; Children eating & drinking;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e041m.jpg,1911,Small photo at top showing girl eating at table with garden backdrop; caption below photo; NYAM stamp in blue ick,New York,Front of mk1e041,mk1e041,Halftone photomechanical prints,Jonathan Frater,document,,image 1 of 5,
46,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=46,Milk: Its Value to the Home: Milk As a Family Food (2),47.jpg,/p4129coll7/image/47.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/46,2004-01-09,2004-01-09,JPG,Milk; Nutrition; Education; Child rearing;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,18,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m002.jpg,1911,"Folded pages describing the nutritional value of milk as a food; photo of baby playing on floor, upper left, left page; illustration of cow, right page, lower right.",New York. New York City.,inside faces 1 and 2 of mk1e041,mk1e041,Halftone photomechanical prints,Jonathan Frater,document,,Image 2 of 5,
47,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=47,Milk: Its Value to  the Home: The Kind of Milk to Buy (4),48.jpg,/p4129coll7/image/48.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/47,2004-01-09,2004-01-09,JPG,Milk; Nutrition; Education; Child rearing; Children eating & drinking;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m004.jpg,1911,"Folded pages; Page at left, discussion of quality and temperature of milk for sale, illustration of cow at bottom; page at right, photograph of bottled milk with produce at top, chart comparing the value of one quart of milk with other foods.",New York. New York City.,inside faces 5 and 6 of mk1e041,mk1e041,Halftone photomechanical prints;,Jonathan Frater,document,,Image 4 of 5,
48,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=48,Milk: Its Value to the Home (5),49.jpg,/p4129coll7/image/49.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/48,2004-01-09,2004-01-09,JPG,Milk; Nutrition; Education; Child rearing; Children eating & drinking;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee on Milk Consumers.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e041m005.jpg,1911,"Single page; pamphlet style, single column printing; information about milk's benefits at top section; lists members of Milk Committee's Standing Committee on Milk Consumers at bottom.",New York. New York City.,back of mk1e041,mk1e041,Halftone photomechanical prints;,Jonathan Frater,document,,Image 5 of 5,
49,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=49,Milk: Its Value to the Home [unbound],50.cpd,/p4129coll7/image/50.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/49,2004-01-13,2004-01-13,JPG,Milk; Nutrition;,The New York Academy of Medicine,Pamphlets,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e041,1911,"8 page pamphlet (unbound, printed on five sheets) promoting milk consumption and providing guidelines for its storage and handling in the home.",,,,Halftone photomechanical prints,,,,,
50,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=50,What Milk to Buy (1),51.jpg,/p4129coll7/image/51.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/50,2004-01-15,2004-01-15,JPG,Children; Milk; Nutrition,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e042m001.jpg,1911,"Collage of head and upper body photos of children; large photo of young girl (?) in center; caption ""New York Milk Committee"" below; NYAM stamp in blue.",New York. New York City.,,,Halftone photomechanical prints;,Jonathan Frater,document,,Image 1 of 2,
51,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=51,What Milk to Buy (2),52.jpg,/p4129coll7/image/52.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/51,2004-01-13,2004-01-13,JPG,Children; Milk; Nutrition;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,20,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e042m002.jpg,,"Single page with two columns of print; includes suggestions on stroring, refirgerating, and preparing milk with bolded subheadings.",New York. New York City.,,,Halftone photomechanical prints;,Jonathan Frater,,,Image 2 of 2,"Parents, Caretakers"
53,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=53,What Milk to Buy (3),54.jpg,/p4129coll7/image/54.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/53,2004-01-13,2004-01-13,JPG,Milk; Nutrition; Bottle feeding; Infants;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e042m003.jpg,1911,"Full single page; fragment of longer document; offers information on the preparation of milk for infants and younger children; photo at bottom of page, two young children sitting on lawn.",New York. New York City.,back of mk1e042,mk1e042,Halftone photomechanical prints;,Jonathan Frater,,,,
54,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=54,Milk and Human Kindness (front),55.jpg,/p4129coll7/image/55.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/54,2004-03-04,2004-03-04,JPG,Milk; Infants; Economic aspects of war; Consumer rationing,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e044m001.jpg,1916,"Caption title, top; hand drawn illustration of baby drinking milk from a bottle; illustration caption: courtesy N.Y. Evening Journal; contact information for New York Milk Committe and members at bottom.",New York. New York City.,front of mk1e044,mk1e044,Halftone photomechanical prints;,Jonathan Frater,,"Text of interior leaves reads:<br>""HELP FEED THE BOYS<br> ""OVER THERE!<br><br> It's up to YOU and ME and the rest of US to substitute<br> MILK  CREAM<br> BUTTER<br> CHEESE  DRY MILK<br><br> FOR THOSE FOODS SO NECESSARY FOR THE PHYSICAL UPKEEP<br> OF THE FIGHTING MEN AT THE FRONT<br> AND THOSE OF OUR ALLIES""<br><br> You are not asked to make a sacrifice but merely to <br>use more abundantly a food that is more beneficial to your well-being than any other.<br>Milk and milk products are not only the most<br> NOURISHING but the CHEAPEST food on the <br> market to-day.<br><br> Milk is a substitute for other foods. No other food<br> is a substitute for milk.<br><br> Use whole milk. Use skimmed milk. Use butter-<br>milk.  Use every form of good, clean milk.<br><br> In one quart of mik there is as much energy as is <br> contained in three-quarters of a pound of meat.<br><br> The Women of the Nation have it in their power to<br> spread the absolute need of Food Conservation to the end <br> that we can spare not only imperishable foods for the<br> men in the battle line but also boost milk consumption<br> at home to what it was in pre-war times, thereby saving <br>the coming race from physical deterioration.<br><br> Remember, milk is the CHEAPEST food there is,<br> and it has increased LESS in price than any other food.<br><br> [second page] Reasons Why the Consumption of Milk <br> Should be Increased <br><br> From the United States Department of Agriculture<br><br>Milk at......Is as Cheap as Sirloin Steak at......Or Eggs at<br> 10 cents a quart....23.3 cents a pound....25.1 cents a dozen<br>12 cents a quart....27.9 cents a pound....30.2 cents a dozen<br> 15 cents a quart....34.9 cents a pound....37.7 cents a dozen<br><br> AN AUTHORITY <br><br> Professor E. V. McCollum, of Johns Hopkins Uni-<br>versity, says discoveries of the past three years show that <br> there are existing in milk and some other foods two un-<br>known substances which stimulate growth. One of these <br> is found in the fat and the other is found in the water or <br> solution. Their chemical charcter is unknown and they<br> have never been separated from the food materials with <br> which they are associated. Professor McCollum has <br> pointed out that the seeds of plants are good food so far<br> as they go, but they are deficient in these growth-<br>promoting substances, which are found chiefly in the <br>leaves of  all trees and plants. They are found in such<br> leaves as cabbage, lettuce,spinach and cauliflower and <br> above all in milk.Concerning milk and milk products, <br> he says it is not generally appreciated that these articles<br> have a dietary value greater than can be expressed <br> by their protein and energy contents. In experiments <br> on rats, Professors Osborne, Mendel and McCollum have <br> shown that the feeding of butter fat and of milk promotes <br>growth in a remarkable way for the reason that the vita-<br> mines or growth-promoting substances are present in milk <br> in an abundance and in a form which is readily available, <br> as in non other of our common foods.",Document not scanned in entirety due to fragility.,
55,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=55,Milk: Its Value to the Home   [fold-out] (1),56.jpg,/p4129coll7/image/56.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/55,2004-01-13,2004-01-13,JPG,Milk; Nutrition;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,19,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e043m001.jpg,1911,Pamphlet cover; single photo of young girl eating at a table; garden as background; caption benetah photo; NYAM stamp in red; New York Milk Comiite contact information at bottom.,New York. New York City.,front of mk1e043,mk1e043,Halftone photomechanical prints;,Jonathan Frater,,,Image 1 of 2,
56,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=56,Milk: Its Value to the Home   [fold-out]  (2),57.jpg,/p4129coll7/image/57.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/56,2004-01-13,2004-01-13,JPG,Milk; Nutrition;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials;,English,mk1e043m002.jpg,1911,Reverse of photo side; single column print; lists members of Milk Committee's Standing Committee on Milk Consumers; lists additional publications by same.,New York. New York City.,back of mk1e043,mk1e043,Halftone photomechanical prints;,Jonathan Frater,,,Image 2 of 2.  Document not scanned in its entirety due to fragility of paper.,
57,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=57,Milk:  Its Value to the Home (fold-out),58.cpd,/p4129coll7/image/58.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/57,2004-01-13,2004-01-13,JPG,Milk; Infants; Nutrition,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,17,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e043,1911,Eight page leaflet (one sheet fold-out) promoting milk consumption and providing guidelines for its storage and handling in the home.,,,,,,,,Document not scanned in its entirety due to fragility of paper.,
58,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=58,Milk and Human Kindness,59.cpd,/p4129coll7/image/59.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/58,2004-03-04,2004-03-04,JPG,Infants; Milk;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e044,1916,"Leaflet (single folded sheet) promoting increased consumption of milk and other dairy products, and substitution of dairy products ""for those foods so necessary for the physical upkeep of the fighting men at the front...""",,,,,,,,Document not scanned in its entirety due to fragility of paper.  Missing images of interior pages.,
60,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=60,What Milk to Buy,61.cpd,/p4129coll7/image/61.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/60,2004-01-13,2004-01-13,JPG,Milk; Infants; Children; Nutrition,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Educational Materials,English,mk1e042,1911,"Educational circular instructing consumers on how to purchase, store and modify milk for infant feeding.  Single folded sheet.",,,,Halftone photomechanical prints,,,,,
61,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=61,Does Fact-Recording Help Your Baby-Saving? (front),62.jpg,/p4129coll7/image/62.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/61,2004-01-15,2004-01-15,JPG,Milk; Infants; Stats;,The New York Academy of Medicine,Postcards;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e009m001.jpg,1911,"Report (for week ending July 29, 1911) providing statistical measures of infant milk stations' success in lowering infant mortality in New York City.  ""Facts given for babies under 2 years.""",New York. New York City.,face of mk1e009,mk1e009,,,postcard,,,
62,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=62,Does Fact-Recording Help Your Baby-Saving? (back),63.jpg,/p4129coll7/image/63.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/62,2004-01-15,2004-01-15,JPG,Milk; Infants; Hygiene; Health;,The New York Academy of Medicine,Postcards;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e009m002.jpg,1911,"Blank postcard promoting the achievements of the New York Milk Committee in combatting infant mortality in the summer months. Includes chart of ""baby deaths for one year"" showing seasonal change in mortality rates.  Caption title: ""When does the spurt come in your city?""",New York. New York City.,verso of mk1e009,mk1e009,Halftone photomechanical prints;,,postcard,,,
63,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=63,What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454] (front),64.jpg,/p4129coll7/image/64.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/63,2004-02-03,2004-02-03,JPG,Infant mortality; Milk; Summer;,The New York Academy of Medicine,Postcards;,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e010m001.jpg,1911,"Postcard promoting the efforts of the New York Milk Committee and other agencies in combatting infants deaths due to impure milk.  Includes statistics on ""deaths reported July 1-15, 1911"" in thirteen American cities including Toledo, Detroit, Baltimore and New York City.  Also includes clipping reproduced from the N.Y. American, July 23 [1911].",New York. New York City.,face of mk1e010,mk1e010,,,postcard,,,
64,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=64,What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454] (back),65.jpg,/p4129coll7/image/65.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/64,2004-01-15,2004-01-15,JPG,Milk; Infants; Hygiene; Health;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e010m002.jpg,1911,"Blank postcard with chart showing infant deaths for one year with spike indicating increased infant mortality in summer months. Caption title: ""When does the spurt come in your city?""",New York. New York City.,verso of mk1e010,mk1e010,Halftone photomechanical prints;,,postcard,,,
65,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=65,Does Fact-Recording Help Your Baby-Saving?,66.cpd,/p4129coll7/image/66.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/65,2004-01-15,2004-01-15,JPG,Infant Mortality; Milk,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e009,1911,"Blank postcard printed on two sides, promoting use of statistics and ""fact recording"" in maternal and child health education campaign.",,,,,,,,,
66,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=66,What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454],67.cpd,/p4129coll7/image/67.cpd,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/66,2004-01-15,2004-01-15,JPG,Infant mortality; Milk,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e010,1911,"Blank postcard printed on two sides, promoting collection of infant mortality statistics.",,,,,,,,,
74,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=74,Seeing New York (4),75.jpg,/p4129coll7/image/75.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/74,2004-02-06,2004-02-06,JPG,Infants; Poetry,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,11,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m004.jpg,[1911],"Two photographs of infants, one malnourished, one healthy, accompanied by table of statistics (""How Facts are Recorded"") drawn from Report of Committee on the Reduction of Infant Mortality, July 1-29, 1911.  Figures include ""number of babies on hand""; ""attendance at milk stations""; ""milk dispensed"" and deaths, among others.  Also includes brief poetic verse entitled ""A Story.""",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,"A STORY <br>   A story I'm showing <br>  Of mother not know- <br>   ing <br>  And now my story's <br>  begun <br><br>  I'll tell you another <br>  Of lessons to mother <br>  And now my story <br>  is done <br><br>  HOW FACTS ARE RECORDED <br>  Report of Committee on the Reduction of Infant Mortality, July 1-29, 1911 <br>   Babies on hand June 30th... 2003<br>      New babies received...1,620 <br>   Cases terminated...525 <br>    Died...20 <br> Gastro-intestinal diseases...14 <br> Babies on hand July 19th...3,098 <br> Attendance at milk stations...13,518 <br> Mothers instructed first time...2,232 <br> New requests for material relief...127 <br> Milk dispensed (quarts)...54,322 <br> Physicians' consultations...238 <br>",,
75,https://server16268.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p4129coll7&CISOPTR=75,Seeing New York (2),76.jpg,/p4129coll7/image/76.jpg,http://cdm16268.contentdm.oclc.org:80/cdm/ref/collection/p4129coll7/id/75,2004-02-03,2004-02-03,JPG,Health & hygiene facilities; Infants; Milk,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m002.jpg,[1911],"Text accompanied by photographs of mothers and children receiving care at New York milk stations; image at bottom left shows infant being weighed by nurse, with caption title ""A community gain -- (10 oz. in one week).""  Other images contrast malnourished infant (wailing) and healthy baby.  Bucolic scene of cows at pasture with caption title: ""Knee-deep in clover -- Safe foster mothers.""",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,"WHAT ONE SEES ON TOUR<br> <br>   Stop in at one of the 80 ""life saving"" stations, where clean, safe milk and <br>  instruction are put within the reach of tenement mothers. This year an Association <br>  of Infant Milk Stations has been organized to weld together for greater effectiveness<br>   the work of many agencies which have worked independently heretofore.<br>  The agencies represented are the Health Department, New York Milk Committee,<br>  Nurses'Settlement, Diet Kitchen Association, Nathan Straus Depots, Babies'<br>  Dairies, Morningside Milk Dispensary, Brooklyn Children's Aid Society.<br><br>  A COMMUNITY GAIN-(10 oz. in one week)<br><br>  Each little customer is weighed weekly, and his diet changed accordingly.<br>  Mothers vie with each other to make their babies win this gaining game.<br><br>  Ordinary store milk. Millions of   bacteria per c.c.-Sickly baby <br><br>  Pure milk. Less than 10,000 bacteria per c.c.- Healthy baby <br><br>  Tenement mothers soon give up the ""loose"" milk habit when shown the <br>  difference in results.<br><br>  KNEE-DEEP IN CLOVER-SAFE FOSTER-MOTHERS <br>  Milk depot milk is either tuberculin tested, certified or pasteurized <br><br>",,
